Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
11,,,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី,ការដាំដុះដំណាំអាយុកាលខ្លី
,0111(1),,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង,ការដាំដុះដំណាំធញ្ញជាតិ (លើកលែងស្រូវ) ដំណាំសណ្ដែកបន្លែ និងដំណាំសណ្ដែកប្រេង
,,1111,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត,ការដាំដុះដំណាំពោត
,,1112,ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២),ការដាំដុះដំណាំសណ្ដែកបន្លែ(២)
,,1113,ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣),ការដាំដុះដំណាំ​សណ្ដែក​ប្រេង​(៣)
,,1114,ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣),ការដាំដុះដំណាំសណ្ដែកប្រេង(៣)
,,1119,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល,ការដាំដុះដំណាំធញ្ញជាតិដទៃទៀត ដែលពុំ​​បាន​​រាប់​​បញ្ចូល
,0112(4),,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ,ការដាំដុះដំណាំ​ស្រូវ
,,1120,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ,ការដាំដុះ​ដំណាំស្រូវ
,0113(5),,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម ,ការដាំដុះដំណាំបន្លែនិងដំណាំអម្បូរត្រសក់ផ្អែម ដំណាំយកឬសនិងមើម 
